accX,accY,accZ,timestamp
-0.01826870,-0.02899526,-0.06757545,19.98
-0.02305736,0.02367987,0.01868725,19.98
0.00806886,0.03086284,-0.03163147,19.98
-0.05178924,-0.02420661,-0.05316162,19.98
0.00567453,-0.00026337,-0.00042820,19.98
0.02243480,0.02846851,-0.01721764,19.98
-0.00869142,0.01410257,-0.05073547,19.98
-0.02545168,0.02846851,-0.01714516,19.98
-0.01826870,-0.01462931,-0.00274467,19.98
-0.00390276,-0.00744634,0.01885986,19.98
0.00806886,0.01170825,-0.03143692,19.98
-0.00629708,0.00213095,0.00930500,19.98
-0.02784600,0.01410257,-0.08643532,19.98
0.00567453,0.02846851,-0.04323387,19.98
-0.03742330,0.01170825,0.02391434,19.98
-0.06376085,0.00213095,0.05028725,19.98
-0.00150844,-0.00505202,0.00714684,19.98
-0.03263465,0.03086284,-0.00477886,19.98
-0.05418356,-0.00744634,0.05993462,19.98
0.01046318,-0.03138958,0.02636433,19.98
-0.00150844,-0.02420661,0.05267525,19.98
-0.02784600,-0.00026337,-0.02639961,19.98
-0.01587439,-0.02181229,-0.00481033,19.98
-0.03263465,-0.01702364,-0.00481510,19.98
0.01285750,0.00931392,-0.01199341,19.98
-0.00390276,-0.00265769,0.01194763,19.98
-0.00150844,0.00213095,-0.01680088,19.98
-0.04939491,-0.02420661,0.01673794,19.98
-0.00390276,-0.00744634,0.01432323,19.98
-0.02784600,0.00452528,-0.00244522,19.98
-0.05418356,-0.00984067,-0.01442623,19.98
0.00567453,0.00452528,-0.00718117,19.98
-0.00390276,-0.00505202,0.01438999,19.98
-0.01108573,-0.03378391,-0.09101772,19.98
0.02004047,-0.03138958,-0.02391148,19.98
-0.06376085,0.00691960,-0.03581905,19.98
-0.00390276,0.01410257,0.05285454,19.98
0.00806886,0.00452528,-0.01428223,19.98
-0.02545168,-0.01702364,-0.03343678,19.98
-0.01826870,-0.04575552,-0.00947380,19.98
-0.01108573,-0.01702364,0.00731277,19.98
-0.02066302,0.03086284,-0.00467396,19.98
-0.01587439,0.02846851,-0.02386665,19.98
-0.01826870,-0.01702364,0.05999279,19.98
-0.00150844,0.03804581,-0.03589535,19.98
0.00328021,0.01649689,-0.01910686,19.98
-0.02784600,-0.01223499,0.02879906,19.98
-0.01348005,0.00691960,0.05515385,19.98
-0.03263465,-0.00026337,0.04323673,19.98
-0.00150844,0.01170825,-0.03579044,19.98
-0.01587439,0.00931392,0.02174282,19.98
-0.01826870,0.02607419,-0.03575134,19.98
0.00088589,0.00213095,0.07914734,19.98
-0.00629708,-0.01702364,0.06711102,19.98
-0.00869142,-0.00026337,0.04796124,19.98
-0.03502897,-0.01223499,-0.02387810,19.98
0.00088589,0.00931392,0.05032825,19.98
-0.00629708,-0.00505202,0.05276108,19.98
-0.03263465,0.01410257,0.02638054,19.98
0.01285750,-0.01941796,-0.00955772,19.98
-0.03502897,-0.03617823,0.00480556,19.98
-0.03024033,-0.03378391,0.00725269,19.98
0.01046318,-0.02420661,0.03125000,19.98
-0.00869142,0.00213095,0.01215839,19.98
-0.02066302,-0.04336120,0.00738144,19.98
-0.02784600,0.00452528,-0.05242348,19.98
-0.00629708,-0.01702364,0.01224232,19.98
0.01046318,0.00931392,-0.04768372,19.98
-0.00629708,0.00691960,-0.04281712,19.98
-0.01826870,-0.00265769,0.00261688,19.98
-0.00390276,0.01410257,-0.01896286,19.98
-0.02784600,0.00931392,-0.01656151,19.98
-0.03981762,-0.01223499,-0.01650810,19.98
-0.03502897,0.01170825,0.01466274,19.98
-0.02066302,0.00452528,-0.02132893,19.98
-0.04221194,0.00213095,-0.01174927,19.98
-0.00150844,-0.04336120,-0.01410294,19.98
-0.03742330,-0.01462931,-0.03800297,19.98
-0.02545168,-0.00984067,-0.00446796,19.98
-0.02066302,-0.00026337,0.01466751,19.98
-0.01587439,-0.00265769,0.01228237,19.98
-0.02066302,0.01170825,0.04580116,19.98
0.00567453,-0.00984067,-0.04046917,19.98
-0.01587439,0.00691960,-0.02369404,19.98
-0.02545168,0.00931392,-0.09311581,19.98
-0.00390276,-0.00744634,-0.02836800,19.98
-0.04221194,-0.00505202,0.05305386,19.98
0.00567453,0.01410257,-0.02833462,19.98
0.00088589,-0.00026337,-0.01631927,19.98
-0.03024033,-0.00744634,0.00045967,19.98
0.02482912,-0.00505202,-0.00907898,19.98
-0.02066302,0.02846851,0.05799484,19.98
0.01046318,0.01410257,-0.00673103,19.98
-0.03742330,0.02846851,-0.01146126,19.98
-0.02784600,-0.04814985,-0.06413174,19.98
-0.00629708,-0.02181229,0.00061512,19.98
-0.03981762,0.01889122,-0.02096272,19.98
0.01525183,-0.02420661,0.02698421,19.98
-0.01826870,0.01889122,-0.01853180,19.98
-0.01348005,0.00452528,0.00299358,19.98
-0.02305736,0.02367987,0.03891945,19.98
-0.02066302,0.03565148,0.03646564,19.98
0.01046318,-0.03138958,0.04361725,19.98
-0.02305736,-0.03138958,-0.03777981,19.98
-0.02066302,0.00213095,-0.00655365,19.98
-0.01348005,-0.01223499,-0.03280926,19.98
-0.02545168,-0.00026337,0.02472305,19.98
-0.01826870,0.00213095,0.00071812,19.98
0.01285750,-0.00505202,0.00070381,19.98
-0.03263465,0.02367987,-0.02799511,19.98
-0.03024033,0.01889122,-0.01601028,19.98
0.02961777,-0.00265769,0.01753044,19.98
-0.02784600,-0.00265769,0.03908253,19.98
0.00088589,0.00452528,-0.01125050,19.98
0.01525183,0.00213095,0.01985168,19.98
-0.01587439,-0.00744634,-0.03286743,19.98
-0.03742330,-0.04096688,0.01021194,19.98
-0.05178924,0.01889122,-0.03051758,19.98
-0.03981762,-0.02181229,-0.00418758,19.98
-0.05418356,-0.01702364,-0.03057766,19.98
-0.00390276,-0.03857255,0.01730537,19.98
-0.01826870,-0.00984067,0.00048637,19.98
-0.01826870,-0.03857255,-0.01628590,19.98
0.01046318,-0.00505202,-0.02827263,19.98
-0.00150844,-0.00744634,0.01962185,19.98
-0.03263465,-0.00265769,-0.03071880,19.98
0.00567453,0.04762310,-0.03555298,19.98
0.00088589,-0.02420661,0.03874207,19.98
-0.01108573,-0.01941796,-0.01402664,19.98
-0.03981762,0.01170825,-0.00688362,19.98
-0.02305736,-0.01702364,-0.03797626,19.98
-0.06615518,0.02128554,0.07221031,19.98
-0.03502897,0.02846851,0.02429771,19.98
-0.00390276,-0.02181229,-0.03791904,19.98
-0.00869142,0.03325716,0.01006413,19.98
-0.05178924,-0.00505202,-0.01858997,19.98
0.01525183,0.01170825,0.00537777,19.98
-0.02305736,-0.00505202,0.02454376,19.98
-0.01108573,-0.00744634,-0.00176239,19.98
-0.00629708,0.02846851,0.01259613,19.98
-0.02066302,0.02128554,-0.05205536,19.98
-0.02784600,0.00213095,0.00299358,19.98
-0.04939491,-0.02660093,0.02932358,19.98
-0.03263465,0.02128554,0.01252174,19.98
-0.02305736,-0.00265769,0.00770760,19.98
0.00806886,0.01170825,-0.04026794,19.98
-0.01348005,-0.02181229,-0.05937958,19.98
-0.00629708,-0.02181229,0.02200413,19.98
-0.03263465,0.02367987,-0.02832794,19.98
0.00328021,-0.00026337,0.05069923,19.98
-0.05418356,-0.00984067,0.00763988,19.98
0.01525183,-0.01702364,0.04827690,19.98
-0.03502897,-0.00026337,0.03627968,19.98
-0.04221194,-0.01462931,0.06735516,19.98
-0.04700059,-0.01462931,-0.01172256,19.98
-0.00629708,-0.04096688,0.00027275,19.98
-0.06854951,-0.03617823,-0.01408863,19.98
0.01046318,-0.00744634,0.00514030,19.98
-0.02545168,-0.00026337,-0.02597332,19.98
0.01764615,0.01649689,0.00042820,19.98
-0.03024033,0.01649689,-0.06904697,19.98
-0.01348005,0.00452528,0.02436447,19.98
-0.01348005,-0.00026337,0.05070400,19.98
0.00328021,-0.01462931,0.01233578,19.98
-0.03263465,-0.02899526,0.00038338,19.98
-0.04221194,-0.00984067,-0.02111626,19.98
-0.01826870,-0.01223499,-0.02345657,19.98
-0.03742330,0.01889122,0.01005173,19.98
-0.03263465,-0.01223499,-0.01865387,19.98
-0.03981762,-0.02420661,0.01736355,19.98
-0.03263465,0.01649689,0.02451992,19.98
0.01285750,0.00452528,-0.01869011,19.98
-0.01826870,0.00691960,-0.07614899,19.98
0.00806886,-0.02660093,-0.03778744,19.98
0.00328021,0.00931392,-0.01869965,19.98
0.01046318,-0.00026337,0.02209759,19.98
-0.03263465,0.01649689,-0.02106571,19.98
-0.00869142,-0.01702364,-0.00669670,19.98
-0.06136654,-0.02899526,0.03642082,19.98
-0.00150844,0.03086284,0.00766468,19.98
-0.04221194,-0.02181229,0.03637791,19.98
-0.01348005,-0.01223499,-0.03791142,19.98
-0.04221194,0.00452528,-0.02585125,19.98
-0.05657788,0.01889122,-0.01387024,19.98
-0.03502897,-0.00744634,0.05317116,19.98
-0.01348005,-0.05533282,-0.03310394,19.98
-0.05418356,-0.02899526,0.02192974,19.98
-0.00390276,0.02367987,-0.05950165,19.98
0.01285750,0.03565148,0.01959038,19.98
-0.02784600,-0.00505202,0.01238537,19.98
0.00806886,0.01170825,-0.07142544,19.98
-0.04939491,0.03086284,-0.00435543,19.98
0.02004047,0.02846851,-0.00446320,19.98
-0.00390276,-0.01702364,0.01228714,19.98
-0.03981762,-0.03378391,0.00987720,19.98
-0.02066302,-0.00744634,0.00980473,19.98
-0.02066302,0.01649689,0.00506401,19.98
-0.02305736,0.01649689,0.03138447,19.98
-0.02066302,-0.03138958,-0.00928974,19.98
0.00328021,-0.02181229,-0.01408577,19.98
-0.02066302,0.00691960,-0.00209045,19.98
0.00806886,-0.02181229,-0.01411247,19.98
-0.03502897,-0.00505202,0.04094601,19.98
-0.03502897,-0.01702364,-0.02613163,19.98
-0.04460627,0.02367987,-0.00938034,19.98
0.02722344,-0.01223499,0.00498962,19.98
-0.03263465,-0.00744634,-0.05482960,19.98
-0.04460627,-0.04096688,0.03383160,19.98
-0.03981762,-0.00984067,-0.02847385,19.98
0.00088589,-0.00265769,0.01220798,19.98
0.00806886,-0.01702364,-0.01413441,19.98
-0.02545168,0.00931392,-0.01407433,19.98
0.00088589,0.00691960,0.00265121,19.98
-0.05657788,-0.00744634,-0.05486774,19.98
0.02243480,-0.00984067,-0.01175404,19.98
0.00328021,0.00213095,0.01696587,19.98
-0.02545168,0.04044013,-0.00456619,19.98
-0.04221194,-0.00026337,-0.00935173,19.98
-0.02066302,0.02128554,0.00739098,19.98
-0.00390276,0.00213095,-0.00692940,19.98
-0.01587439,0.03325716,-0.02842617,19.98
-0.02784600,-0.05293849,0.02664375,19.98
-0.03502897,-0.02899526,-0.00693130,19.98
-0.00150844,0.00452528,-0.04518318,19.98
-0.01108573,0.00691960,0.00033283,19.98
-0.00869142,0.02607419,0.04579353,19.98
-0.00390276,-0.02660093,0.00505161,19.98
0.03680074,-0.03617823,0.02897644,19.98
-0.01108573,0.02846851,-0.00685501,19.98
0.02004047,-0.04575552,0.03385353,19.98
-0.00150844,0.00691960,-0.05475044,19.98
0.00567453,-0.02181229,-0.00437927,19.98
-0.00629708,-0.01941796,-0.06661987,19.98
0.00806886,-0.01223499,-0.00193024,19.98
-0.02545168,0.03086284,-0.00187492,19.98
0.00806886,0.04522878,0.02448177,19.98
0.02004047,0.01889122,-0.04734135,19.98
0.00567453,-0.01702364,-0.02106285,19.98
-0.02545168,0.01170825,-0.07135105,19.98
-0.02305736,0.02367987,-0.03054619,19.98
-0.01826870,-0.01941796,0.01260376,19.98
0.00328021,-0.02181229,0.03888130,19.98
0.00328021,-0.00265769,-0.07372093,19.98
0.01046318,-0.00026337,0.00761127,19.98
-0.03024033,-0.01223499,0.03392315,19.98
-0.02545168,-0.02899526,-0.00683880,19.98
-0.03263465,-0.02899526,0.06257248,19.98
-0.06615518,-0.01941796,0.02657700,19.98
-0.02784600,-0.00984067,0.00023460,19.98
-0.04460627,0.05001742,0.03140354,19.98
-0.02066302,-0.00505202,-0.02612209,19.98
-0.01587439,-0.00265769,-0.01646328,19.98
-0.03024033,0.03086284,-0.01409054,19.98
0.00328021,0.00931392,-0.01881218,19.98
-0.01826870,-0.00984067,0.02430248,19.98
-0.00869142,-0.01941796,-0.01163387,19.98
-0.01108573,-0.00984067,0.01948452,19.98
-0.03981762,0.01649689,0.01469421,19.98
-0.01587439,0.02128554,0.02909660,19.98
-0.02784600,-0.02181229,-0.03076458,19.98
-0.02784600,0.02607419,0.00995827,19.98
-0.04221194,0.01170825,-0.01151180,19.98
0.01046318,0.01170825,-0.03544998,19.98
-0.02305736,-0.00505202,-0.00182247,19.98
-0.00390276,-0.05054417,0.01012135,19.98
-0.03263465,-0.02420661,-0.07134151,19.98
-0.02305736,-0.00505202,-0.01617813,19.98
-0.03742330,-0.01462931,0.00297451,19.98
-0.03024033,-0.00984067,-0.04730988,19.98
0.02482912,-0.02181229,-0.02333450,19.98
-0.03263465,-0.01941796,0.00293064,19.98
-0.03263465,0.02367987,0.03882122,19.98
-0.00629708,0.01170825,0.01005459,19.98
-0.00390276,-0.03138958,-0.00919151,19.98
-0.02545168,0.01170825,0.01474667,19.98
-0.01587439,-0.01702364,0.01470375,19.98
0.00088589,0.02367987,0.03626251,19.98
-0.04939491,0.00213095,-0.07151413,19.98
0.02243480,0.03325716,-0.02118301,19.98
-0.02066302,0.02128554,-0.01155949,19.98
-0.02305736,0.00213095,-0.00915051,19.98
-0.00629708,-0.03378391,-0.01153564,19.98
-0.02305736,-0.00265769,0.05548191,19.98
-0.02545168,0.02128554,-0.00924873,19.98
-0.04939491,-0.00744634,0.04823875,19.98
0.00088589,0.03086284,-0.09547615,19.98
-0.03024033,0.01410257,0.05784702,19.98
-0.00150844,0.02128554,-0.04997158,19.98
-0.06376085,-0.01462931,0.02893829,19.98
-0.00390276,-0.01941796,-0.00459480,19.98
-0.02305736,0.04762310,0.01222801,19.98
-0.02066302,0.00691960,-0.02127361,19.98
-0.00629708,0.02367987,0.01221848,19.98
0.01764615,-0.00026337,0.03853893,19.98
0.00567453,-0.02420661,-0.02844715,19.98
0.00806886,-0.00265769,0.01471519,19.98
-0.03742330,0.01649689,0.04820061,19.98
-0.03024033,-0.00265769,-0.01406670,19.98
-0.00629708,-0.02899526,0.04816723,19.98
-0.01587439,-0.05533282,0.02897644,19.98
-0.01826870,0.01170825,0.02183151,19.98
0.00328021,0.01410257,-0.00455189,19.98
-0.06376085,0.00931392,-0.01652050,19.98
0.00328021,-0.04336120,0.00501823,19.98
-0.02066302,0.01649689,-0.00690079,19.98
0.00567453,0.02367987,0.01945400,19.98
-0.01348005,0.00691960,0.03377247,19.98
0.00088589,0.02128554,0.00978565,19.98
-0.02066302,-0.00265769,0.01940155,19.98
-0.03742330,0.01889122,-0.02845669,19.98
-0.03502897,-0.02181229,0.00746346,19.98
-0.00150844,0.00691960,-0.03323078,19.98
-0.01826870,-0.01941796,-0.01646805,19.98
-0.01826870,0.00691960,0.02909851,19.98
-0.02545168,-0.00026337,0.08415031,19.98
0.00088589,-0.00984067,-0.02840424,19.98
-0.03742330,-0.00744634,0.01950359,19.98
-0.06376085,0.00931392,0.00986958,19.98
