posX,posY,posZ
0.000028,-0.000021,0.000036
0.000095,-0.000088,0.000139
0.000221,-0.000206,0.000267
0.000392,-0.000333,0.000392
0.000557,-0.000410,0.000497
0.000685,-0.000470,0.000519
0.000810,-0.000547,0.000416
0.000997,-0.000635,0.000329
0.001226,-0.000768,0.000185
0.001499,-0.000937,-0.000135
0.001853,-0.001097,-0.000487
0.002258,-0.001241,-0.000883
0.002662,-0.001414,-0.001312
0.003059,-0.001639,-0.001776
0.003433,-0.001871,-0.002212
0.003782,-0.002132,-0.002612
0.004161,-0.002487,-0.003056
0.004560,-0.002909,-0.003505
0.004953,-0.003349,-0.003960
0.005369,-0.003810,-0.004369
0.005752,-0.004296,-0.004726
0.006081,-0.004773,-0.005068
0.006413,-0.005215,-0.005474
0.006771,-0.005699,-0.005940
0.007174,-0.006243,-0.006447
0.007582,-0.006755,-0.007033
0.007978,-0.007151,-0.007640
0.008365,-0.007469,-0.008249
0.008736,-0.007827,-0.008819
0.009134,-0.008225,-0.009331
0.009580,-0.008604,-0.009779
0.010070,-0.008999,-0.010149
0.010583,-0.009452,-0.010577
0.011118,-0.009956,-0.011083
0.011744,-0.010508,-0.011579
0.012439,-0.011040,-0.012116
0.013143,-0.011557,-0.012661
0.013816,-0.012072,-0.013103
0.014468,-0.012563,-0.013476
0.015117,-0.013064,-0.013801
0.015736,-0.013562,-0.014052
0.016378,-0.014073,-0.014284
0.017049,-0.014644,-0.014492
0.017715,-0.015290,-0.014716
0.018397,-0.015982,-0.015035
0.019056,-0.016695,-0.015398
0.019663,-0.017391,-0.015697
0.020276,-0.018099,-0.015923
0.020940,-0.018862,-0.016148
0.021642,-0.019660,-0.016367
0.022298,-0.020460,-0.016563
0.022925,-0.021257,-0.016749
0.023572,-0.022090,-0.016890
0.024213,-0.022965,-0.016934
0.024841,-0.023877,-0.016888
0.025466,-0.024820,-0.016790
0.026097,-0.025790,-0.016682
0.026748,-0.026760,-0.016615
0.027423,-0.027728,-0.016487
0.028118,-0.028735,-0.016269
0.028849,-0.029781,-0.016078
0.029613,-0.030858,-0.015954
0.030367,-0.032002,-0.015859
0.031103,-0.033157,-0.015743
0.031842,-0.034323,-0.015631
0.032589,-0.035542,-0.015528
0.033335,-0.036801,-0.015397
0.034073,-0.038067,-0.015212
0.034813,-0.039344,-0.014924
0.035592,-0.040650,-0.014548
0.036397,-0.041967,-0.014159
0.037217,-0.043310,-0.013749
0.038063,-0.044700,-0.013264
0.038933,-0.046187,-0.012748
0.039794,-0.047788,-0.012250
0.040591,-0.049488,-0.011702
0.041370,-0.051260,-0.011164
0.042167,-0.053042,-0.010714
0.042960,-0.054831,-0.010303
0.043783,-0.056683,-0.009903
0.044660,-0.058628,-0.009521
0.045587,-0.060651,-0.009132
0.046564,-0.062744,-0.008835
0.047526,-0.064909,-0.008661
0.048419,-0.067152,-0.008519
0.049312,-0.069455,-0.008421
0.050180,-0.071756,-0.008409
0.050988,-0.074040,-0.008385
0.051751,-0.076354,-0.008274
0.052478,-0.078707,-0.008094
0.053228,-0.081040,-0.007877
0.053972,-0.083377,-0.007674
0.054643,-0.085699,-0.007468
0.055234,-0.087964,-0.007351
0.055821,-0.090203,-0.007299
0.056500,-0.092455,-0.007256
0.057209,-0.094719,-0.007242
0.057894,-0.097004,-0.007236
0.058570,-0.099359,-0.007208
0.059239,-0.101759,-0.007111
0.059919,-0.104108,-0.006936
0.060603,-0.106420,-0.006696
0.061283,-0.108725,-0.006410
0.061941,-0.111065,-0.006082
0.062588,-0.113485,-0.005815
0.063225,-0.115951,-0.005576
0.063897,-0.118441,-0.005242
0.064653,-0.120965,-0.004881
0.065424,-0.123528,-0.004472
0.066185,-0.126100,-0.003951
0.066967,-0.128652,-0.003392
0.067784,-0.131202,-0.002793
0.068614,-0.133796,-0.002151
0.069436,-0.136404,-0.001505
0.070265,-0.139032,-0.000830
0.071090,-0.141719,-0.000108
0.071932,-0.144459,0.000722
0.072801,-0.147239,0.001644
0.073688,-0.150019,0.002601
0.074568,-0.152809,0.003610
0.075383,-0.155614,0.004648
0.076151,-0.158411,0.005667
0.076935,-0.161232,0.006753
0.077742,-0.164089,0.007943
0.078603,-0.166950,0.009146
0.079538,-0.169806,0.010471
0.080473,-0.172632,0.011931
0.081356,-0.175416,0.013412
0.082224,-0.178190,0.014894
0.083077,-0.180948,0.016471
0.083876,-0.183704,0.018151
0.084641,-0.186518,0.019866
0.085370,-0.189406,0.021684
0.086081,-0.192353,0.023548
0.086842,-0.195335,0.025364
0.087669,-0.198366,0.027196
0.088567,-0.201400,0.029069
0.089528,-0.204441,0.030974
0.090473,-0.207464,0.032925
0.091397,-0.210458,0.034874
0.092360,-0.213500,0.036846
0.093319,-0.216600,0.038913
0.094266,-0.219715,0.041062
0.095273,-0.222816,0.043212
0.096354,-0.225929,0.045284
0.097464,-0.229084,0.047289
0.098574,-0.232279,0.049200
0.099696,-0.235486,0.051040
0.100856,-0.238688,0.052871
0.102058,-0.241866,0.054653
0.103272,-0.245029,0.056355
0.104455,-0.248263,0.057985
0.105641,-0.251604,0.059635
0.106835,-0.254943,0.061310
0.107993,-0.258225,0.063065
0.109166,-0.261484,0.064920
0.110383,-0.264722,0.066807
0.111642,-0.267958,0.068738
0.112936,-0.271195,0.070680
0.114257,-0.274426,0.072611
0.115569,-0.277678,0.074553
0.116847,-0.280946,0.076436
0.118119,-0.284241,0.078199
0.119430,-0.287593,0.079917
0.120806,-0.290979,0.081563
0.122187,-0.294372,0.083170
0.123551,-0.297786,0.084804
0.124908,-0.301230,0.086396
0.126288,-0.304704,0.087883
0.127696,-0.308189,0.089245
0.129129,-0.311616,0.090500
0.130590,-0.315035,0.091689
0.132070,-0.318455,0.092852
0.133590,-0.321854,0.094055
0.135151,-0.325326,0.095308
0.136738,-0.328894,0.096502
0.138302,-0.332501,0.097736
0.139838,-0.336180,0.099008
0.141400,-0.339938,0.100181
0.143046,-0.343729,0.101320
0.144725,-0.347569,0.102487
0.146382,-0.351427,0.103613
0.148048,-0.355285,0.104705
0.149710,-0.359150,0.105797
0.151354,-0.363040,0.106863
0.152992,-0.366968,0.107969
0.154618,-0.370918,0.109043
0.156237,-0.374878,0.110055
0.157835,-0.378853,0.111070
0.159396,-0.382883,0.112089
0.160961,-0.386930,0.113157
0.162560,-0.390931,0.114357
0.164157,-0.394926,0.115654
0.165744,-0.398978,0.116984
0.167352,-0.403085,0.118396
0.168968,-0.407213,0.119887
0.170605,-0.411380,0.121462
0.172253,-0.415590,0.123079
0.173868,-0.419830,0.124656
0.175447,-0.424083,0.126168
0.177059,-0.428300,0.127701
0.178676,-0.432500,0.129298
0.180305,-0.436697,0.130914
0.182026,-0.440940,0.132518
0.183843,-0.445288,0.134061
0.185719,-0.449696,0.135623
0.187621,-0.454119,0.137266
0.189568,-0.458532,0.138949
0.191521,-0.462929,0.140641
0.193408,-0.467336,0.142350
0.195267,-0.471771,0.144074
0.197171,-0.476272,0.145771
0.199119,-0.480806,0.147439
0.201047,-0.485329,0.149090
0.202937,-0.489849,0.150675
0.204792,-0.494361,0.152219
0.206592,-0.498930,0.153787
0.208413,-0.503535,0.155398
0.210275,-0.508153,0.157012
0.212164,-0.512799,0.158642
0.214122,-0.517483,0.160389
0.216091,-0.522258,0.162205
0.218045,-0.527091,0.164121
0.219986,-0.531950,0.166151
0.221930,-0.536838,0.168169
0.223910,-0.541746,0.170158
0.225919,-0.546682,0.172148
0.227955,-0.551628,0.174150
0.229987,-0.556652,0.176138
0.232049,-0.561748,0.178103
0.234156,-0.566829,0.180029
0.236292,-0.571947,0.181918
0.238434,-0.577131,0.183803
0.240554,-0.582343,0.185674
0.242653,-0.587558,0.187478
0.244725,-0.592798,0.189249
0.246794,-0.598131,0.191011
0.248874,-0.603542,0.192796
0.250974,-0.608966,0.194621
0.253113,-0.614378,0.196434
0.255300,-0.619817,0.198285
0.257522,-0.625323,0.200100
0.259738,-0.630866,0.201872
0.261948,-0.636408,0.203729
0.264160,-0.641907,0.205659
0.266372,-0.647414,0.207646
0.268599,-0.653000,0.209650
0.270843,-0.658650,0.211682
0.273107,-0.664288,0.213717
0.275372,-0.669884,0.215655
0.277612,-0.675463,0.217495
0.279824,-0.681034,0.219192
0.282010,-0.686620,0.220753
0.284204,-0.692188,0.222258
0.286395,-0.697706,0.223686
0.288531,-0.703171,0.225050
0.290715,-0.708618,0.226405
0.292974,-0.714087,0.227776
0.295217,-0.719565,0.229166
0.297426,-0.725065,0.230629
0.299624,-0.730579,0.232216
0.301848,-0.736113,0.233890
0.304090,-0.741701,0.235568
0.306325,-0.747346,0.237217
0.308584,-0.753033,0.238855
0.310882,-0.758748,0.240511
0.313203,-0.764490,0.242240
0.315529,-0.770254,0.244017
0.317808,-0.776048,0.245789
0.320023,-0.781861,0.247472
0.322163,-0.787686,0.249068
0.324279,-0.793535,0.250678
0.326409,-0.799397,0.252314
0.328500,-0.805335,0.253973
0.330516,-0.811317,0.255629
0.332490,-0.817324,0.257247
0.334451,-0.823409,0.258868
0.336376,-0.829516,0.260487
0.338262,-0.835590,0.262060
0.340090,-0.841656,0.263666
0.341898,-0.847719,0.265408
0.343734,-0.853732,0.267201
0.345565,-0.859686,0.268977
0.347323,-0.865637,0.270793
0.349048,-0.871591,0.272538
0.350839,-0.877474,0.274188
0.352647,-0.883352,0.275791
0.354449,-0.889305,0.277322
0.356304,-0.895342,0.278926
0.358201,-0.901487,0.280603
0.360127,-0.907696,0.282253
0.362071,-0.913887,0.283949
0.364041,-0.920070,0.285601
0.366065,-0.926262,0.287094
0.368164,-0.932500,0.288532
0.370373,-0.938837,0.289928
0.372620,-0.945183,0.291325
0.374855,-0.951509,0.292741
0.377099,-0.957871,0.294172
0.379298,-0.964279,0.295596
0.381454,-0.970672,0.296996
0.383589,-0.977053,0.298442
0.385696,-0.983504,0.299945
0.387831,-0.989979,0.301491
0.389982,-0.996458,0.303029
0.392104,-1.002982,0.304564
0.394177,-1.009522,0.306118
0.396193,-1.016026,0.307711
0.398170,-1.022477,0.309329
0.400152,-1.028883,0.310918
0.402188,-1.035287,0.312447
0.404275,-1.041728,0.313935
0.406373,-1.048171,0.315367
0.408443,-1.054663,0.316656
0.410499,-1.061213,0.317921
0.412560,-1.067811,0.319310
0.414596,-1.074469,0.320836
0.416612,-1.081148,0.322405
0.418690,-1.087843,0.323876
0.420857,-1.094524,0.325288
0.423012,-1.101238,0.326710
0.425116,-1.108036,0.328108
0.427201,-1.114880,0.329501
0.429242,-1.121727,0.330922
0.431240,-1.128559,0.332349
0.433255,-1.135401,0.333845
0.435303,-1.142262,0.335357
0.437426,-1.149165,0.336737
0.439602,-1.156098,0.338058
0.441760,-1.163002,0.339451
0.443908,-1.169882,0.340880
0.446008,-1.176763,0.342318
0.448078,-1.183668,0.343760
0.450139,-1.190589,0.345178
0.452181,-1.197546,0.346569
0.454241,-1.204536,0.347942
0.456318,-1.211476,0.349327
0.458416,-1.218399,0.350746
0.460547,-1.225337,0.352206
0.462686,-1.232296,0.353690
0.464801,-1.239295,0.355213
0.466907,-1.246306,0.356807
0.469021,-1.253321,0.358503
0.471156,-1.260366,0.360259
0.473299,-1.267481,0.361948
0.475472,-1.274656,0.363572
0.477675,-1.281879,0.365176
0.479895,-1.289151,0.366817
0.482150,-1.296432,0.368456
0.484424,-1.303734,0.370077
0.486685,-1.311094,0.371833
0.488963,-1.318487,0.373725
0.491316,-1.325878,0.375665
0.493693,-1.333314,0.377653
0.496042,-1.340813,0.379678
0.498385,-1.348295,0.381692
0.500755,-1.355753,0.383708
0.503130,-1.363233,0.385690
0.505514,-1.370750,0.387669
0.507918,-1.378317,0.389635
0.510328,-1.385942,0.391601
0.512717,-1.393613,0.393614
0.515102,-1.401325,0.395651
0.517484,-1.409071,0.397720
0.519800,-1.416842,0.399789
0.522067,-1.424610,0.401908
0.524302,-1.432381,0.404059
0.526545,-1.440201,0.406129
0.528826,-1.448105,0.408139
0.531113,-1.456118,0.410085
0.533388,-1.464185,0.411869
0.535710,-1.472240,0.413483
0.538089,-1.480325,0.415065
0.540464,-1.488459,0.416690
0.542857,-1.496666,0.418299
0.545265,-1.504962,0.419875
0.547648,-1.513313,0.421433
0.550019,-1.521754,0.422990
0.552402,-1.530271,0.424559
0.554838,-1.538824,0.426181
0.557343,-1.547413,0.427874
0.559907,-1.555979,0.429633
0.562506,-1.564533,0.431496
0.565121,-1.573103,0.433466
0.567716,-1.581679,0.435535
0.570285,-1.590298,0.437630
0.572883,-1.598965,0.439707
0.575523,-1.607665,0.441717
0.578189,-1.616378,0.443650
0.580888,-1.625097,0.445648
0.583563,-1.633853,0.447696
0.586177,-1.642609,0.449774
0.588779,-1.651372,0.451824
0.591390,-1.660183,0.453819
0.594042,-1.669048,0.455895
0.596718,-1.677977,0.458093
0.599447,-1.686945,0.460413
0.602236,-1.695934,0.462826
0.604995,-1.704981,0.465291
0.607729,-1.714094,0.467780
0.610466,-1.723223,0.470325
0.613178,-1.732337,0.473088
0.615890,-1.741476,0.475988
0.618620,-1.750704,0.478830
0.621358,-1.760012,0.481669
0.624111,-1.769355,0.484562
0.626900,-1.778702,0.487486
0.629724,-1.788020,0.490461
0.632572,-1.797373,0.493507
0.635470,-1.806788,0.496543
0.638380,-1.816226,0.499540
0.641235,-1.825663,0.502548
